date,currency_code,Country,local_price,dollar_ex,dollar_price,Year,Code,gdp_growth,GDP_Per_Capita,GDP,country_code,region,sub_region,GDP_log10
6/1/2005,CRC,Costa Rica,1130,475,2.38,2005,CRI,8.16789615,7779.325378,34265034380,188,Americas,Latin America and the Caribbean,
6/1/2005,CZK,Czech Republic,56.42,24,2.35,2005,CZE,5.602643685,20151.17812,2.07534E+11,203,Europe,Eastern Europe,11.31708825
6/1/2005,DKK,Denmark,27.75,6,4.62,2005,DNK,0.909238959,61174.54163,3.34101E+11,208,Europe,Northern Europe,11.52387773
6/1/2005,HUF,Hungary,530,203,2.61,2005,HUN,0.422396462,13732.14938,1.38087E+11,348,Europe,Eastern Europe,11.14015428
6/1/2005,IDR,Indonesia,14600,9545,1.53,2005,IDN,6.345022227,2757.89367,6.40863E+11,360,Asia,South-eastern Asia,
6/1/2005,JPY,Japan,250,106,2.36,2005,JPN,1.654183881,45687.27381,5.84802E+12,392,Asia,Eastern Asia,
6/1/2005,MYR,Malaysia,5.25,3,1.75,2005,MYS,6.29878593,8605.017517,2.29929E+11,458,Asia,South-eastern Asia,
6/1/2005,MXN,Mexico,28,10,2.8,2005,MEX,2.291445714,9622.047957,1.05044E+12,484,Americas,Latin America and the Caribbean,
6/1/2005,NZD,New Zealand,4.45,1,4.45,2005,NZL,3.013111653,34600.44522,1.46145E+11,554,Oceania,Australia and New Zealand,
6/1/2005,NOK,Norway,39,6,6.5,2005,NOR,2.985054837,91617.27915,4.3144E+11,578,Europe,Northern Europe,11.63492019
6/1/2005,PKR,Pakistan,130,59,2.2,2005,PAK,4.832817277,994.904409,1.66953E+11,586,Asia,Southern Asia,
6/1/2005,PEN,Peru,8.99,3,3,2005,PER,8.518387769,4356.738965,1.2344E+11,604,Americas,Latin America and the Caribbean,
6/1/2005,PHP,Philippines,80,54,1.48,2005,PHL,6.616662284,1968.812423,1.76023E+11,608,Asia,South-eastern Asia,
6/1/2005,PLN,Poland,6.5,3,2.17,2005,POL,7.03474027,11322.06581,4.31603E+11,616,Europe,Eastern Europe,11.63508495
6/1/2005,SAR,Saudi Arabia,9,3,3,2005,SAU,1.847130252,19187.80679,4.83237E+11,682,Asia,Western Asia,
6/1/2005,SGD,Singapore,3.6,1,3.6,2005,SGP,9.022116566,44742.41698,2.05305E+11,702,Asia,South-eastern Asia,
6/1/2005,ZAR,South Africa,13.95,6,2.32,2005,ZAF,5.360475891,7298.998143,3.58525E+11,710,Africa,Sub-Saharan Africa,
6/1/2005,LKR,Sri Lanka,175,99,1.77,2005,LKA,6.796826119,2412.686828,47872638203,144,Asia,Southern Asia,
6/1/2005,SEK,Sweden,31,7,4.43,2005,SWE,3.408098478,53483.95671,4.89276E+11,752,Europe,Northern Europe,11.68955405
6/1/2005,CHF,Switzerland,6.3,1,6.3,2005,CHE,4.111877812,75143.70222,5.67419E+11,756,Europe,Western Europe,11.75390379
6/1/2005,THB,Thailand,60,40,1.5,2005,THA,5.43509257,4745.30443,3.14054E+11,764,Asia,South-eastern Asia,
6/1/2005,TRY,Turkey,4,1,4,2005,TUR,5.03045759,10640.42283,7.4038E+11,792,Asia,Western Asia,
